scheme,fe_degree,refinements,h,dt,dofs,final_l2_error,final_energy_ratio,wall_time
Newmark (beta=0.5, dissipative),1,3,0.125,0.04,81,0.00315108,1.00743,0.16356
Newmark (beta=0.5, dissipative),1,3,0.125,0.02,81,0.0133907,1.00188,0.306704
Newmark (beta=0.5, dissipative),1,3,0.125,0.01,81,0.016016,1.00047,0.607996
Newmark (beta=0.5, dissipative),1,3,0.125,0.005,81,0.0166749,1.00012,1.13913
Newmark (beta=0.5, dissipative),1,3,0.125,0.0025,81,0.0168398,1.00003,2.19294
Newmark (beta=0.5, dissipative),2,3,0.125,0.04,289,0.0138482,1.00721,0.161326
Newmark (beta=0.5, dissipative),2,3,0.125,0.02,289,0.00346878,1.00183,0.343342
Newmark (beta=0.5, dissipative),2,3,0.125,0.01,289,0.000840668,1.00046,0.64344
Newmark (beta=0.5, dissipative),2,3,0.125,0.005,289,0.000190164,1.00011,1.28566
Newmark (beta=0.5, dissipative),2,3,0.125,0.0025,289,6.69379e-05,1.00003,2.54949
Newmark (beta=0.5, dissipative),1,4,0.0625,0.04,289,0.00962368,1.00727,0.175735
Newmark (beta=0.5, dissipative),1,4,0.0625,0.02,289,0.000810949,1.00184,0.340754
Newmark (beta=0.5, dissipative),1,4,0.0625,0.01,289,0.00340579,1.00046,0.670799
Newmark (beta=0.5, dissipative),1,4,0.0625,0.005,289,0.00406393,1.00012,1.31243
Newmark (beta=0.5, dissipative),1,4,0.0625,0.0025,289,0.00422869,1.00003,2.72529
Newmark (beta=0.5, dissipative),2,4,0.0625,0.04,1089,0.0138867,1.00721,0.283292
Newmark (beta=0.5, dissipative),2,4,0.0625,0.02,1089,0.00350711,1.00183,0.531743
Newmark (beta=0.5, dissipative),2,4,0.0625,0.01,1089,0.000877195,1.00046,1.06354
Newmark (beta=0.5, dissipative),2,4,0.0625,0.005,1089,0.000217627,1.00011,2.28447
Newmark (beta=0.5, dissipative),2,4,0.0625,0.0025,1089,5.30491e-05,1.00003,4.18129
Newmark (beta=0.5, dissipative),1,5,0.03125,0.04,1089,0.0128184,1.00723,0.29895
Newmark (beta=0.5, dissipative),1,5,0.03125,0.02,1089,0.00243846,1.00183,0.60462
Newmark (beta=0.5, dissipative),1,5,0.03125,0.01,1089,0.000204214,1.00046,1.13151
Newmark (beta=0.5, dissipative),1,5,0.03125,0.005,1089,0.000855091,1.00011,2.31584
Newmark (beta=0.5, dissipative),1,5,0.03125,0.0025,1089,0.00101973,1.00003,4.82491
Newmark (beta=0.5, dissipative),2,5,0.03125,0.04,4225,0.0138892,1.00721,0.473469
Newmark (beta=0.5, dissipative),2,5,0.03125,0.02,4225,0.00350955,1.00183,0.829569
Newmark (beta=0.5, dissipative),2,5,0.03125,0.01,4225,0.000879609,1.00046,1.62367
Newmark (beta=0.5, dissipative),2,5,0.03125,0.005,4225,0.000219928,1.00011,3.36952
Newmark (beta=0.5, dissipative),2,5,0.03125,0.0025,4225,5.48774e-05,1.00003,6.63543
Newmark (beta=0.5, dissipative),1,6,0.015625,0.04,4225,0.0136214,1.00722,0.479528
Newmark (beta=0.5, dissipative),1,6,0.015625,0.02,4225,0.00324147,1.00183,1.10245
Newmark (beta=0.5, dissipative),1,6,0.015625,0.01,4225,0.000611662,1.00046,2.01199
Newmark (beta=0.5, dissipative),1,6,0.015625,0.005,4225,5.11462e-05,1.00011,4.05778
Newmark (beta=0.5, dissipative),1,6,0.015625,0.0025,4225,0.000214001,1.00003,8.69436
Newmark (beta=0.5, dissipative),2,6,0.015625,0.04,16641,0.0138893,1.00721,1.103
Newmark (beta=0.5, dissipative),2,6,0.015625,0.02,16641,0.0035097,1.00183,2.19316
Newmark (beta=0.5, dissipative),2,6,0.015625,0.01,16641,0.000879762,1.00046,4.37231
Newmark (beta=0.5, dissipative),2,6,0.015625,0.005,16641,0.00022008,1.00011,8.61314
Newmark (beta=0.5, dissipative),2,6,0.015625,0.0025,16641,5.50215e-05,1.00003,17.1535
Leapfrog (Störmer-Verlet),1,3,0.125,0.04,81,0.104805,0.971233,0.0440045
Leapfrog (Störmer-Verlet),1,3,0.125,0.02,81,0.0599544,0.971896,0.0905642
Leapfrog (Störmer-Verlet),1,3,0.125,0.01,81,0.0382191,0.982595,0.175299
Leapfrog (Störmer-Verlet),1,3,0.125,0.005,81,0.0275062,0.990467,0.339622
Leapfrog (Störmer-Verlet),1,3,0.125,0.0025,81,0.0221875,0.995026,0.673962
Leapfrog (Störmer-Verlet),2,3,0.125,0.02,289,0.043631,0.967353,0.0999178
Leapfrog (Störmer-Verlet),2,3,0.125,0.01,289,0.0216376,0.980423,0.213094
Leapfrog (Störmer-Verlet),2,3,0.125,0.005,289,0.0107929,0.989404,0.485409
Leapfrog (Störmer-Verlet),2,3,0.125,0.0025,289,0.0054062,0.994501,0.82644
